Date,Comment
20120619145438Z,"""go away you trashy\xa0 tramp"""
20120611205501Z,"""Yeah, equal number.\n\nOf course, blacks make up just a bit over 12% of the population, so that ""equal number"" would mean that blacks are about six times more likely to be racist.\n\nGood thing the black community has you around to defend it.\n\n:::facepalm:::"""
20120619014221Z,"""He's an idiot !"""
20120528030202Z,"""You must be very proud to say your team won 37 years ago. Go Devils"""
20120530151416Z,"""LOL Lame old woman, mother of yellow chicken hawks."""
20120619222024Z,"""To those of you who think defense lawyers are scum-- hopefully you'll never need one on your side."""
20120529011023Z,"""Oh my just goes to show how young you are. Yes I remember her and all her fancy hair colours. As a tiny girl my daughter loved her."""
20120320201902Z,"""Then go away Nobody here wants to hear your bull crap.\xa0 You're like the flu. Just when you think you're over the worst here you come with your lib talking points that make no sense and just show how d u m b you are."""
20120610071025Z,"""Addie, your comment has left me with the strong impression that you are a miserable sod who is quite prepared to greedily guzzle the last pint without any thought of sharing."""
,"""Don't worry, maybe next year."""
,"""AHA, I see 'auntyred' has finally left her kitchen sink to comment.\\n\\nStupid ones at that,\\n\\nAs usual."""
20120611162732Z,"""Can I steal all of these outfits? I'm going to France for 2 weeks in July for my honeymoon. You just gave me some great outfit ideas to pack. Thank you!!"""
20120620122547Z,"""Oh God arise, May your enemies be scattered."""
20120528221807Z,"""Keep talking shit anonymously, coward. It's what you're good at."""
20120529022549Z,"""tell me 1 thing negative I said tonight"""
,"""(I apologize for making this post in segments)\\n\\n \\n\\nSome things to know about this story and Kansas City for that matter, (I appologize because I have to post this in sections to fit it all in)\\n\\n \\n\\n#1. Mr. SEC says, ""Like it or not, Kansas City is still Big 12 territory."" That is 100% true. Kansas City is major Big 12 territory. That being said, things are about to change. For all we know, the Big 12 might not even exist in 2017 and the contract with the Big 12 college basketball tournament expires in 2014. Big 12 Commissioner Chuck Neinas came on Kansas City radio yesterday, saying that the Big 12 wants Kansas City as their host city for the long-term and are hopeful that the SEC will not continue to pursue a tournament here."""
20120618215819Z,"""Since Leah doesn't come around anymore I'll make her normal comments for her.\n\nI'LL BLOW OUT HIS BIRTHDAY CANDLE!\n\nSPREAD MY WINGS (MEAT CURTAINS) AND SING!\n\nI think I covered it!\n\nHAPPY FUCKDAY, FIFTY!\n\nx"""
20120528071959Z,"""its the Kings Isaiah lol, not the legend hhahaha"""
20120528173226Z,"""He will never be ashamed. Lefties are amoral so they have no shame. They think patriotism is quaint and soldiers are tools.\n\nWonder where these assholes would be if it were not for those they hate so much."""
20120610150457Z,"""You are looking for attention because you were dumped by one of your relatives and feel lonely. Inbreeding is not all it is cracked up to be is it?"""
,"""What a SHOW both parties put on to suck more money out of the tax payer."""
20120528204350Z,"""Where are you in Syria?"""
20120612145639Z,"""You are a pig!"""
20120609221107Z,"""Are you really and idiot twisted pathetic illiterate redneck or just plain simple\xa0 mentally disturbed and delusional?\n\nYou are gonna have some surprises in the (near) future.\nBe prepared to what will happen.....in ""your"" country.\n\nYou really think Romney is different!!\nahahahah\n(no problem, there are people who believe in Santa, some believe in the Easter Bunny....ahahah)"""
20120320124220Z,"""You gotta be retarded....."""
20120619183830Z,"""You are an idiot"""
20120609205454Z,"""They know - but they keep it suppressed."""
,"""EWWWW ~ Regal pose??? More like about ready to spew puke all over the place! Ugly genes in the family somewhere!!!"""
20120527223214Z,"""What a boob you are."""
20120527213158Z,"""Only winning at home.\n\nBut both west finalists have HCA"""
20120611183248Z,"""If this man goes to jail Ill burn down the capitol building"""
,"""First, I'm not gay. Second, I like it fine here."""
20120619162802Z,"""and you're not a bigot because .....?"""
20120611031029Z,"""YOu are one very SICK peron.\xa0 YOU are psychotic and that is a professional diagnoses by ME.\xa0 If you continue to your sick post I will have to report YOU and you will be commited to a psyhicatric hospital."""
,"""then get off the internet moron...it's a choice (still)"""
20120515164206Z,"""Dam n but you are stupid."""
20120527195006Z,"""jlhanxson:\n\nDon't believe all you read in polls........."""
20120530111411Z,"""You are just taking up for Obama"""
20120503001007Z,"""For everyone's sake lets hope you are wrong."""
20120528222719Z,"""well it only took you guys 50+ years\ncongrats"""
20120619033521Z,"""four2goJust  nowin reply to 45ACP   \n ................and YOU just PROVED MY point!\n\nThat your a no-nothing stupid bitchh? I sure as heII did, didn't I!"""
20120610024738Z,"""You can take your mom here when you get rich!"""
,"""contra ;\\n\\nSorry. No gay gene.\\n"""
20120610205706Z,"""BEAVAN MOTHER FUC KER! , YOU ARE WORST PITCHER ! , OPTION TO AAA , AND CALL UP CARRAWHAY , NOESI IS JUST 1 OR 2 GAMES FOR OPTION!"""
,"""nah but im sure he fucked your mom"""
,"""@VirginiaDawg @Coach P You just got me super excited!!"""
20120530000740Z,"""And you can be silly too!"""
20120529142155Z,"""You are so nieve."""
20120619233914Z,"""So you are the Queen of Trolls? You should create yet another username and call yourself that, then."""
20120618211038Z,"""cemeteries freak me the fuck out! the end!"""
20120620011226Z,"""Sly appears to have some good ass... Especially in the rawrod scene... where dude fucks that ass royally..."""
20120611162247Z,"""Oh come on man. Do you ever step off your high horse? If I were to take one guess at what is making her ""go through stuff"" it would be meth ohhhh meth..."""
20120527195239Z,"""are you saying lbj will fail covering rondo?"""
20120515220742Z,"""Aitazaz change your name to aitarz. Shame on you Allah gave you respect and you could not keep it. Shame on you"""
,"""she's pretty, but that gap is not attractive. I would ask why she doesn't get it fixed but I guess that's her trademark."""
20120619215603Z,"""looking back to my youth, ratings were a fundamental part of coming of age--sneaking into films you were to young for, that is.  those ratings let you know which movies had the goods!"""
20120611234009Z,"""If you do not see the problem, \xa0then you are part of it."""
20120619175917Z,"""Is anyone really going to cop these?  Lets be honest here?"""
20120609221743Z,"""This niggas gay....she got a cute face and big tits....you should ALREADY be hard......bring her over here...."""
20120530051826Z,"""His bc says he is 'Caucasian'.........\xa0\xa0\xa0 ;-D"""
20120620153458Z,"""Why are you defending white-collar criminals?"""
20120610174639Z,"""oh and one more thing i rather stay at home and put a porn dvd in and jack off and go to sleep be for i go out to rape some innocent lady that has done nothing to me real talk hands down???"""
20120612002449Z,"""Leah- truthfully- you should just pick what you want us to wear. If you don't like the color, then pick one you like, pick the dress you like best and we need to just roll with it. It's cool. Please don't try to make everyone ""happy"" because you are the bride and we all want YOU to be happy. Kewl?"""
20120618222256Z,"""@ian21\xa0""Roger Clemens is the fucking man, and never did any fucking steroids because he is fucking awesome. Did you all misremember Roger's incredibleness?"" - Roger Clemens"""
20120619191500Z,"""Yawn.\n\nAnd your thoughts on left wing rank hypocrisy are? \n\nOh and do you have an ISA? If yes you are a tax avoiding hypocrite."""
,"""The sexual preference of your parents does not determine your sexual preference.\\xc2\\xa0 Every gay person I know had straight parents. Every child of gay parents I know is straight"""
20120611194256Z,"""You sound like a cool guy I can't wait to here more from you!"""
20120609175848Z,"""<cite>Exactly how often did your daddy r\xe4pe you? Weekly Hourly? You're the most depressingly buttf++ked piece of shite ever to vomit their halfassed moronic excuses for the English language on this site. \xa0You think you're being clever, but your grasp of colloquialisms and sarcasm are hilariously pathetic. You're a fool. Your posts are puerile and you personally have no value. \xa0Nobody here likes you. H\xe9ll, nobody here even <i>tolerates you</i>. If these people could recognize you on the street they would spit on you. My best guess is you're the result of unprotected buttsex between your mother and the family dog. \xa0An abomination with no justifiable reason to exist.\n\nNow do us all a huge favor and <b>go fuckyourself with a chainsaw</b>, ""Sparky"". \xa0Slowly and painfully.\n\nLet's all blow this pathetic troll <i>a big sticky sphincter kiss!!!</i>\n\nMMMMMMMWWWWWWAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!!!!!!!!\n</b>\n\n\u2026\u2026\u2026\u2026\u2026\u2026\u2026./\xb4\xaf/)\n\u2026\u2026\u2026\u2026\u2026\u2026..,/\xaf../\n\u2026\u2026\u2026\u2026\u2026\u2026./\u2026./\n\u2026\u2026\u2026\u2026./\xb4\xaf/'\u2026'/\xb4\xaf\xaf`\xb7\xb8\n\u2026\u2026\u2026./'/\u2026/\u2026./\u2026\u2026./\xa8\xaf\\\n\u2026\u2026..('(\u2026\xb4\u2026\xb4\u2026. \xaf~/'\u2026')\n\u2026\u2026\u2026\\\u2026\u2026\u2026\u2026\u2026..'\u2026../\n\u2026\u2026..\u2026\\\u2026.....\u2026\u2026. _.\xb7\xb4\n\u2026\u2026\u2026\u2026\\\u2026\u2026\u2026\u2026..(\n\u2026\u2026\u2026\u2026..\\\u2026\u2026\u2026\u2026.\\\n\n</cite>"""
20120502201444Z,"""Yes you are. Don't play me like I'm a fool, fool."""
,"""@Kick Ass Suuuure you will. Because you know all the places in L.A. hiring an accomplished sound designer/audio engineer/editor."""
20120620013022Z,"""What do you expect?remember the time when he said you can't be fat because you're a woman but he can simply because he's a man."""
,"""All you complainers , dont  forget that this is the SUN , a paper of Arse & Tits . If you dont like it. go  and read the Guardian . Love Lisa in the shiny gear. """
20120619152630Z,"""@Idrees1993 @caljb7 hahaa not even expensive fakes #fakejordan1"""
20120529020354Z,"""Didn't he beat the Dodgers earlier this year?"""
20120618210046Z,"""It is entirely relevant, but you are afraid of the point I will draw if you were to answer the question truthfully. Your choice to evade is duly noted."""
,"""Bad as I dislike Obama I wouldn't wish this puke on his kids"""
20120620181313Z,"""Holy Gee Willikers, your depth of knowledge and thought has been revealed! \xa0How can anyone debate such a showing of intelligence. \xa0You have earned this, it has been determined, you have brought this on yourself, you leave me no choice..................................you are dumb."""
20120529135119Z,"""Same here, I voted for him in 1984 and I was proud to do it."""
20120529005919Z,"""In that photo above, why is that Johnny fellow punching that other fellow? Did that other fellow say something disparaging to him? And what's wrong with their hands? They're all puffy and red."""
20120619030937Z,"""Well, then, you're not an elf."""
20120619195433Z,"""I know. I called it a while ago when I had a bug in my ear. Fuck Luongo, I would take Backstrom and his one year left way before him"""
20120619131251Z,"""Vacman, Foxtitues is lame, corny.\xa0 I know you are proud of yourself for thinking you invented the term but I have seen it in other folk's posts.\xa0 It just makes me groan.\xa0 I also don't like libtard, Rachel Madcow, etc.\xa0 These terms are tiresome.\xa0 And you need to\xa0quit watching CNN, MSNBC, Anderson Cooper, Ed Schultz, etc.\xa0 You really need to develop some views of your own."""
20120611183244Z,"""Stand your ground Eric Holder, let the whole thing hang out, including Issa's background.  The US congress has a 14% approval and credibility by the American public.  Don't let a sleaze like Issa push you around.  MAKE IT ALL PUBLIC.  Them Republican crooks have NO credibility."""
20120609184208Z,"""I'm asking quellepotat a question, you stupid son ofabitch! Why do you keep hijacking everyone's post? Do you think you know it all you a s shole!"""
20120620142440Z,"""There is totally nothing wrong with having a fetish for black girls. I'm a black guy who has spent most of my life fucking white girls.....those gorgeous pink nipples do it for me! Don't think so much dude...to deny your sexual self would be to deny yourself completely."""
20120609185853Z,"""Pe, you don't ""earn"" an exemption -- it's at the sponsor's discretion.\xa0 That's why it's called an ""exemption""; you are exempt from the normal qualifying requirements.\n\nPal, you have serious issues, IMO.\xa0 Ever consider diversity therapy?"""
,"""He had the potential but blew every one of his chances.\\n\\n \\n\\nNot good enough for Arsenal and he'll not be missed.\\n\\n \\n\\nI expect him to be at Spurs in 10 years or so."""
20120528232102Z,"""VN and what happened to vets after the war ruined a lot of minds, agent orange killed people but no where near what PTSD has"""
,"""@kiki100 First she asked what do black women think of her then she said she thinks black women resent her.  lol so which one is it? are you clueless to what black women think of you or are your thoughts that black women are resentful? to be honest I don't care I'm not interested in your man lady lol """
20120503024441Z,"""A sour person you are. Ever hear of having a little fun?"""
