Insult,Date,Comment
0.39688064838151244,20120603163526Z,"""like this if you are a tribe fan"""
0.60802395070041004,20120531215447Z,"""you're idiot......................."""
0.28672188819841454,20120823164228Z,"""I am a woman Babs, and the only ""war on women"" I see is coming from jackazzes like you.\xa0 I don't need your protection or your ignorant rhetoric masquerading as representing my best interests.\xa0 """
0.3196635526726086,20120826010752Z,"""WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID"""
0.41836954300052148,20120602223825Z,"""haha green me red you now loser whos winning now moron"""
0.21593434875664622,20120603202442Z,"""\nMe and God both hate-faggots.\n\nWhat's the difference between a-fag-and a refrigerator?\nRefrigerators don't fart when you put the meat in."""
0.3800864460219231,20120603163604Z,"""Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward-Incompetent-Chief.....everyone of YOU ARE the enemy....and you'll ALL fall.....and hard too BOY."""
0.3156684267835918,20120602223902Z,"""Not a chance Kid, you're wrong."""
0.22519241668694689,20120528064125Z,"""On Some real Shit FUck LIVE JASMIN!!!"""
0.26313941152121356,20120603071243Z,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it."""
0.29868887473927014,20120531222107Z,"""\xa0@CrankyVince has found our slice of the Internets!\xa0 FUCK YOU."""
0.51909454934182209,20120602124231Z,"""\xa0HAHAHAHAH, you are a delusional moron."""
0.26366969457965894,20120531213632Z,"""There you are, been missing you.  How are you doing, feeling better?"""
0.34225746348760389,20120826163900Z,"""wenttoau\n\nHe made a prediction just like you, but he doesn't know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying, ""idiots"". """
0.2994222880065599,20120824113742Z,"""KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE"""
0.62544540774303004,20120528193938Z,"""You're a crank."""
0.39679759372320916,20120602093617Z,"""Come on oppa you're a man. XD"""
0.42428163660628898,20120531011755Z,"""I like your enthusiasm and initiative. You're a real go getter."""
0.54797203248932047,20120603034157Z,"""Juggalo you suck at trolling """
0.17196758502849921,20120528204217Z,"""you seem a very eloquent, grounded and educated person.\xa0"""
0.15753851496727175,20120531032438Z,"""Its a wild wild world, keep your dirty fingers off of my human rights."""
0.33628094889617544,20120602003811Z,"""Are you about to recapture your swag?"""
0.27631806853738289,20120528234413Z,"""no shit.. you must be a\xa0genius\xa0"""
